Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",6.11286,5.43136,7.43911,3.39027,16,16,0,0,,96.656,394.927,80.6796,39.06,36.41,10.6903,25.4518,0.226424,4.50228,111.11,10.3458,2.36991,4.3655,0.995413,0.281342,0.0644468,0.21689559519290924,0.221056,1.09803,0.287817,0.735714,,,3.17413,2.72578,2.28281,9.649999618530273,,,,,,,503.9,5.1948453608247425,474,4.88659793814433,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",7.15122,4.18777,6.67661,3.01961,16,16,0,0,,92.992,376.235,82.3643,33.73,31.2,6.59269,21.3858,0.224674,2.60807,93.7433,9.07272,2.06978,4.38343,0.638057,0.249162,0.0568418,0.1923200488090515,0.23383,1.11569,0.300795,0.740794,,,2.78521,2.71188,2.57194,24.75,,,,,,,504.90000000000003,5.429032258064517,490,5.268817204301075,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Tarik Skubal","DET",5.44364,4.21082,5.2454,3.13026,14,14,0,0,,77.658,311.835,65.2913,29.05,27.01,8.01248,15.8294,0.186542,2.34035,87.7336,10.1677,1.83451,5.54245,0.928588,0.281346,0.0507621,0.23058439418673515,0.222333,1.04459,0.289406,0.744897,,,2.88939,2.40899,2.09834,7.019999980926514,,,,,,,431.80000000000007,5.535897435897437,408,5.230769230769231,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Jesús Luzardo","PHI",6.75148,4.65759,7.19249,3.56997,16,16,0,0,,94.816,394.839,82.4117,40.49,37.61,9.21933,29.6354,0.250139,5.96925,104.331,9.90315,2.81301,3.52048,0.875105,0.264236,0.0750569,0.18917959183454514,0.229409,1.18173,0.297913,0.721778,,,3.29555,2.35555,2.03445,70.58999633789062,,,,,,,479.09999999999997,5.043157894736842,458,4.821052631578947,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Jacob Misiorowski","MIL",5.97406,5.65275,5.85122,3.242,19,15,0,0.2958,,88.7229,365.828,63.8476,34.11,31.96,10.1437,35.089,0.330056,5.96073,124.204,12.5992,3.5594,3.5397,1.02897,0.339516,0.0959166,0.2435992807149887,0.196588,1.11512,0.282014,0.765047,,,3.18015,2.3267,2.23505,114.13999938964844,,,,,,,494.20000000000005,5.5528089887640455,440,4.943820224719101,,,,,,,,,,,,,,,,,,,"Jacob Misiorowski","31623",694819
"Chris Sale","ATL",5.77634,4.29062,6.52128,3.60966,14,14,0,0,,84.224,349.011,73.6301,36.24,33.78,8.35472,23.334,0.200816,5.14019,99.2403,10.6046,2.49342,4.25304,0.892767,0.284347,0.0668573,0.21748962253332138,0.229708,1.15126,0.30654,0.71216,,,3.05287,2.28459,1.72995,39.36000061035156,,,,,,,444.80000000000007,5.295238095238096,430,5.119047619047619,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Dylan Cease","TOR",6.5593,4.33006,7.21025,3.58958,15,15,0,0,,91.59,381.761,70.7477,39.12,36.53,10.5076,38.8685,0.296176,3.29371,116.042,11.4028,3.81937,2.98551,1.03252,0.303966,0.101814,0.20215211808681488,0.208328,1.19681,0.282753,0.742803,,,3.44414,2.22834,1.94235,74.7699966430664,,,,,,,466.9,5.075,423,4.5978260869565215,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Logan Webb","SFG",5.20595,5.44626,6.78612,3.84016,15,15,0,0,,88.59,370.543,85.7376,40.45,37.8,7.57533,24.4018,0.277839,2.77443,77.6474,7.88833,2.47902,3.18204,0.76959,0.20955,0.0658541,0.14369620382785797,0.249697,1.24325,0.302786,0.700157,,,3.38463,2.00102,1.63181,57.189998626708984,,,,,,,411.6,4.6247191011235955,416,4.674157303370786,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Jacob deGrom","TEX",5.57684,4.18135,5.58874,3.2897,14,14,0,0,,79.366,315.514,60.2971,30.89,29.01,10.413,20.2801,0.280234,1.08088,89.0837,10.102,2.29974,4.39266,1.18082,0.282344,0.0642763,0.21806801110506058,0.204985,1.01526,0.256267,0.752847,,,3.37385,1.95147,1.94144,50.0099983215332,,,,,,,420.6,5.324050632911392,380,4.810126582278481,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Hunter Brown","HOU",5.61138,4.30748,6.20128,3.69005,14,14,0,0,,82.194,340.769,71.7563,36.06,33.7,9.64621,24.9937,0.251388,4.06395,89.0544,9.7512,2.73674,3.56308,1.05623,0.261334,0.0733449,0.18798858672380447,0.230201,1.17709,0.291582,0.72905,,,3.52498,1.82071,1.59511,36.189998626708984,,,,,,,387.6000000000001,4.726829268292684,371,4.524390243902439,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
