Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Cristopher Sánchez","PHI",7,4,10,2.92175,15,15,0,0,,95,390,82,34,31,8,23,,4,101,9.55463,2.17988,4.3831,0.748005,0.258933,0.0590753,0.1998576633632183,0.227015,1.10843,0.293193,0.759879,,,2.9157,2.7208,2.76074,24.75,,,,,,,512.4000000000001,5.393684210526317,492,5.178947368421053,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Paul Skenes","PIT",6,4,10,2.87699,15,15,0,0,,90,361,73,31,29,8,23,,4,106,10.5949,2.29616,4.61418,0.844547,0.292369,0.0633633,0.22900597006082535,0.218929,1.07161,0.29395,0.768389,,,2.86218,2.58881,2.74454,9.649999618530273,,,,,,,508.8,5.653333333333333,477,5.3,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Tarik Skubal","DET",6,3,10,2.69462,14,14,0,0,,86,338,67,28,26,8,18,,3,100,10.5412,1.85548,5.68113,0.88991,0.296518,0.0521935,0.24432453140616417,0.213089,0.99549,0.283658,0.779967,,,2.78599,2.49292,2.80784,7.019999980926514,,,,,,,500.8,5.823255813953488,463,5.383720930232558,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Chris Sale","ATL",7,3,9,2.924,14,14,0,0,,84,343,68,30,27,9,23,,4,103,11.0504,2.5151,4.39361,0.94177,0.29969,0.0682104,0.2314796969294548,0.214035,1.08728,0.287978,0.778533,,,2.97854,2.23031,2.38539,39.36000061035156,,,,,,,459.09999999999997,5.46547619047619,428,5.095238095238095,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Jesús Luzardo","PHI",6,4,9,3.34851,15,15,0,0,,88,364,74,36,33,10,28,,4,100,10.2435,2.91659,3.51214,1.02649,0.274571,0.0781777,0.19639327377080917,0.22224,1.16325,0.287315,0.754189,,,3.41968,2.0208,2.03999,70.58999633789062,,,,,,,439.80000000000007,4.997727272727274,414,4.704545454545454,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Jacob Misiorowski","MIL",6,3,10,2.72126,18,14,0,0,,79,339,57,26,24,8,36,,4,114,12.9178,4.05827,3.18307,0.908296,0.334657,0.105137,0.22952064126729965,0.188675,1.16552,0.272596,0.815515,,,3.05135,1.99634,2.32549,114.13999938964844,,,,,,,446.00000000000006,5.645569620253165,399,5.050632911392405,,,,,,,,,,,,,,,,,,,"Jacob Misiorowski","31623",694819
"Zack Wheeler","PHI",6,4,8,3.48766,14,14,0,0,,87,354,74,37,34,11,24,,4,96,9.90678,2.50159,3.9602,1.1273,0.270875,0.0683994,0.20247569680213928,0.227095,1.12793,0.287953,0.739761,,,3.49519,1.93572,1.86374,110.48999786376953,,,,,,,424.1,4.874712643678161,400,4.597701149425287,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Logan Webb","SFG",6,4,9,3.46542,15,15,0,0,,92,382,88,39,36,8,23,,4,84,8.19675,2.23394,3.6692,0.774185,0.220062,0.0599754,0.16008618846535683,0.247603,1.20094,0.303997,0.722238,,,3.27484,1.91908,1.72512,57.189998626708984,,,,,,,440.6000000000001,4.789130434782609,443,4.815217391304348,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Drew Rasmussen","TBR",5,4,9,3.34389,15,15,0,0,,78,322,69,32,29,8,20,,3,79,9.05383,2.29413,3.94651,0.966165,0.245361,0.0621716,0.18318958207964897,0.231959,1.13695,0.288069,0.741032,,,3.38145,1.74886,1.80696,132.36000061035156,,,,,,,388.4000000000001,4.9794871794871804,375,4.8076923076923075,,,,,,,,,,,,,,,,,,,"Drew Rasmussen","25385",656876
"Hunter Greene","CIN",5,4,8,3.4242,14,14,0,0,,78,317,61,32,30,11,26,,3,93,10.7612,3.00035,3.58665,1.23275,0.29275,0.0816221,0.21112797409296036,0.211429,1.11693,0.272437,0.758109,,,3.62988,1.73316,1.88716,444.32000732421875,,,,,,,382.30000000000007,4.9012820512820525,346,4.435897435897436,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Dylan Cease","TOR",6,4,8,3.29057,14,14,0,0,,81,339,64,32,29,9,32,,4,100,11.2202,3.62603,3.09434,1.03214,0.296667,0.095874,0.20079272985458374,0.210514,1.19257,0.282446,0.768628,,,3.45649,1.72569,1.94222,74.7699966430664,,,,,,,414.29999999999995,5.114814814814814,380,4.691358024691358,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Braxton Ashcraft","PIT",5,2,8,3.35857,17,14,0,0,,79,338,72,32,30,8,24,,4,84,9.49709,2.69879,3.51902,0.927168,0.247606,0.0703621,0.17724353820085526,0.232378,1.20999,0.292608,0.75289,,,3.36998,1.71908,1.7651,239.36000061035156,,,,,,,383.00000000000006,4.848101265822786,375,4.746835443037975,,,,,,,,,,,,,,,,,,,"Braxton Ashcraft","23793",677952
"Jacob deGrom","TEX",5,4,8,3.3828,14,14,0,0,,80,320,65,33,30,11,21,,3,90,10.1369,2.34002,4.33199,1.20464,0.280337,0.0647133,0.21562395244836807,0.219878,1.07702,0.278208,0.749179,,,3.49898,1.69933,1.77327,50.0099983215332,,,,,,,395.70000000000005,4.946250000000001,365,4.5625,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Hunter Brown","HOU",5,4,8,3.36939,13,13,0,0,,79,326,67,32,29,8,27,,4,87,9.95566,3.06998,3.24291,0.926543,0.266708,0.0822436,0.1844649389386177,0.226114,1.19146,0.292917,0.747194,,,3.39214,1.68808,1.84907,36.189998626708984,,,,,,,393.00000000000006,4.974683544303798,372,4.708860759493671,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
