Player,Owner,On My Team,Free Agent,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury,Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,PlayerType,W,L,QS,ERA,GS,SV,HLD,BS,IP,TBF,ER,K/9,BB/9,K/BB,HR/9,K-BB%,WHIP,LOB%,GB%,HR/FB,FIP,RA9-WAR,FPTS/IP,SPTS/IP,Draft Round,Overall Pick,Original Owner,Keeper Eligible,Keeper Round
Aaron Judge,Master Bader,False,False,100.0,,,,"RF,OF,DH,UTIL,BE,IL",TEN_DAY_DL,Aaron Judge,NYY,34.0,147.613,120.348,35.3005,16.7858,6.16403,0.077835,12.2728,25.7675,30.0455,24.5516,3.80786,37.5371,1.45407,0.987311,0.143642,1.94021,2.33061,0.8187,0.29332,0.166324,0.254294,0.654061,0.416084,0.651766,0.44313,1.06785,0.358446,3.53308,0.321951,,-0.0777158,32.5635,15.0384,188.483,-0.0777158,-0.46,15.29716121405363,-2.3269250094890594,1.85017,1.850000023841858,,,,,,,285.2,8.388235294,285.2,8.388235294,,,,,,,,,,,,,,,,,,,Aaron Judge,15640,592450.0,Hitter,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Master Bader,False,
Aaron Nola,yahtzee BEEZNUTZ,False,False,100.0,,,,"P,SP,BE,IL",ACTIVE,Aaron Nola,PHI,14.0,,,78.0,,,,12.0,42.0,,25.0,,81.0,4.0,,,,,,0.242407,0.0702839,0.232273,,,,,,,,0.287808,,,,,,,,,,1.30055,205.52999877929688,,,,,,,346.2,,339.0,,,,,,,,,,,,,,,,,,,,Aaron Nola,16149,605400.0,Pitcher,6.0,5.0,7.0,4.12643,14.0,0.0,0.0,,84.0,350.0,38.0,8.73347,2.64267,3.30479,1.32636,0.1619892492890358,1.22441,0.71078,,,4.09487,1.13829,4.121428571428571,4.035714285714286,10.0,7.0,yahtzee BEEZNUTZ,True,9
Abner Uribe,Master Bader,False,False,100.0,,,,"P,RP,BE,IL",ACTIVE,Abner Uribe,MIL,33.0,,,26.0,,,,3.0,12.0,,14.0,,38.0,2.0,,,,,,0.212779,0.10287,0.276766,,,,,,,,0.285432,,,,,,,,,,0.567813,167.27999877929688,,,,,,,202.70000000000007,,189.0,,,,,,,,,,,,,,,,,,,,Abner Uribe,25327,682842.0,Pitcher,2.0,2.0,0.0,3.12103,0.0,3.0,5.0,,33.0,136.0,11.0,10.3441,3.84476,2.69045,0.767265,0.173896424472332,1.20958,0.762061,,,3.34265,0.768843,6.142424242424244,5.727272727272728,13.0,1.0,Master Bader,True,12
Adley Rutschman,Jazz Hands,False,False,100.0,,,,"C,UTIL,BE,IL,DH",ACTIVE,Adley Rutschman,BAL,68.0,280.292,245.485,64.1326,40.8885,13.0282,0.544981,9.67088,35.6116,35.2047,29.9901,0.674655,42.5614,1.91755,2.55468,0.344801,5.3323,0.714866,0.255697,0.261248,0.106996,0.151846,0.704632,0.343065,0.436945,0.341973,0.78001,0.175696,2.708,0.278139,,-0.343176,38.9274,5.65027,119.379,-0.343176,2.74,6.050874650478363,4.838765382766724,2.11768,148.92999267578125,,,,,,,348.7,5.127941176,348.7,5.127941176,,,,,,,,,,,,,,,,,,,Adley Rutschman,26288,668939.0,Hitter,,,,,,,,,,,,,,,,,,,,,,,,,18.0,6.0,Jobu's Rum Runners,True,17
Alec Burleson,yahtzee BEEZNUTZ,False,False,100.0,,,,"1B,1B/3B,IF,LF,RF,OF,DH,UTIL,BE,IL",ACTIVE,Alec Burleson,STL,75.0,318.52,287.057,77.1862,50.4894,15.1239,0.0664057,11.5065,38.911,43.5787,24.4756,0.921615,46.7206,2.71215,3.07581,0.821956,6.51787,2.55403,0.929767,0.268888,0.0768418,0.14668,0.523873,0.328923,0.44229,0.335833,0.771212,0.173402,2.92438,0.283217,,-0.278204,42.6566,4.84095,114.366,-0.278204,0.16,5.198779463768005,-5.783091872930527,0.990927,175.19000244140625,,,,,,,384.4,5.125333333,384.4,5.125333333,,,,,,,,,,,,,,,,,,,Alec Burleson,27615,676475.0,Hitter,,,,,,,,,,,,,,,,,,,,,,,,,11.0,4.0,yahtzee BEEZNUTZ,True,10
Alex Bregman,Houck Tuah,False,False,100.0,,,,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE,Alex Bregman,CHC,75.0,322.887,282.541,70.0592,46.2235,13.6367,0.433026,9.76588,38.3052,38.7846,32.7463,0.907457,47.411,4.29901,2.75144,0.549141,5.86829,1.76895,0.677964,0.247961,0.101417,0.146835,0.690691,0.332274,0.402985,0.325261,0.735259,0.155023,2.89324,0.264311,,-0.360796,40.4837,2.14968,106.877,-0.360796,1.37,2.296861916780472,2.52740740776062,1.55469,119.16999816894533,,,,,,,355.6,4.741333333,355.6,4.741333333,,,,,,,,,,,,,,,,,,,Alex Bregman,17678,608324.0,Hitter,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,Houck Tuah,True,3
Andres Munoz,Houck Tuah,False,False,100.0,,,,"P,RP,BE,IL",ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,Houck Tuah,True,4
Andrew Abbott,Team Quinn,False,False,100.0,,,,"P,SP,BE,IL",ACTIVE,Andrew Abbott,CIN,14.0,,,78.0,,,,14.0,48.0,,28.0,,69.0,4.0,,,,,,0.253679,0.0815448,0.202614,,,,,,,,0.285236,,,,,,,,,,0.778077,221.92999267578125,,,,,,,259.0,,260.0,,,,,,,,,,,,,,,,,,,,Andrew Abbott,29911,671096.0,Pitcher,4.0,5.0,6.0,4.88071,14.0,0.0,0.0,,80.0,339.0,44.0,7.70056,3.09919,2.4847,1.55034,0.1210693195462226,1.31647,0.673447,,,4.80625,0.425209,3.2375,3.25,18.0,8.0,Team Quinn,True,17
Andy Pages,George Clooneys,False,False,100.0,,,,"LF,CF,RF,OF,UTIL,BE,IL",ACTIVE,Andy Pages,LAD,69.0,299.579,272.791,72.5717,43.5314,14.3381,2.02165,12.6805,43.4843,40.8113,19.5622,0.514929,62.1249,4.32973,2.56303,0.333126,3.7517,5.91322,1.87308,0.266034,0.0652989,0.207374,0.314885,0.322355,0.47287,0.343522,0.795225,0.206836,5.58739,0.298636,,0.0559724,41.9809,6.41401,117.925,0.0559724,1.2,6.483527522534132,2.2164140939712524,1.87151,133.4199981689453,,,,,,,387.8,5.620289855,387.8,5.620289855,,,,,,,,,,,,,,,,,,,Andy Pages,24816,681624.0,Hitter,,,,,,,,,,,,,,,,,,,,,,,,,9.0,10.0,George Clooneys,True,8
Anthony Kay,Master Bader,False,False,100.0,,,,"P,SP,BE,IL",ACTIVE,Anthony Kay,CHW,11.0,,,61.0,,,,8.0,32.0,,23.0,,54.0,3.0,,,,,,0.248817,0.0856754,0.198422,,,,,,,,0.289687,,,,,,,,,,0.818685,717.8599853515625,,,,,,,231.8,,236.0,,,,,,,,,,,,,,,,,,,,Anthony Kay,20387,641743.0,Pitcher,3.0,2.0,5.0,4.24767,11.0,0.0,0.0,,62.0,271.0,29.0,7.74271,3.34318,2.31597,1.12986,0.1127464845776557,1.34582,0.709649,,,4.27635,0.750085,3.7387096774193536,3.806451612903226,,,,True,Last
Aroldis Chapman,Jazz Hands,False,False,100.0,,,,"P,RP,BE,IL",ACTIVE,Aroldis Chapman,BOS,30.0,,,22.0,,,,3.0,10.0,,13.0,,40.0,1.0,,,,,,0.199609,0.105941,0.323193,,,,,,,,0.287382,,,,,,,,,,0.697881,64.55000305175781,,,,,,,244.90000000000003,,228.0,,,,,,,,,,,,,,,,,,,,Aroldis Chapman,10233,547973.0,Pitcher,2.0,1.0,0.0,2.88684,0.0,15.0,1.0,,30.0,123.0,10.0,11.9633,3.92153,3.05068,0.802106,0.2172515019774437,1.16003,0.782115,,,3.05859,1.00437,8.163333333333334,7.6,21.0,8.0,Jazz Hands,True,20
Austin Riley,Jazz Hands,False,False,100.0,,,,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE,Austin Riley,ATL,73.0,307.926,275.755,69.4169,41.1633,13.8019,1.10493,13.3468,40.4153,42.341,25.0435,0.226464,80.4043,4.41244,2.38939,0.325593,4.56173,1.92222,0.620313,0.251734,0.0813296,0.261116,0.31147,0.321433,0.455001,0.337801,0.776433,0.203267,3.98197,0.304078,,-0.243181,41.7273,5.16945,113.088,-0.243181,-1.21,4.580791845917702,-0.1824936866760254,1.4621,59.36000061035156,,,,,,,366.9,5.026027397,366.9,5.026027397,,,,,,,,,,,,,,,,,,,Austin Riley,18360,663586.0,Hitter,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,Jazz Hands,True,4
Bailey Ober,Master Bader,False,False,100.0,,,,"P,SP,BE,IL",ACTIVE,Bailey Ober,MIN,10.0,,,59.0,,,,10.0,34.0,,14.0,,46.0,2.0,,,,,,0.26232,0.0585032,0.190878,,,,,,,,0.288788,,,,,,,,,,0.461373,494.3399963378906,,,,,,,196.80000000000004,,204.0,,,,,,,,,,,,,,,,,,,,Bailey Ober,21224,641927.0,Pitcher,3.0,4.0,4.0,4.86186,10.0,0.0,0.0,,58.0,243.0,31.0,7.17087,2.19783,3.2627,1.60979,0.1323750503361225,1.26391,0.664911,,,4.69825,0.313119,3.393103448275862,3.5172413793103448,22.0,10.0,Master Bader,True,21
Ben Rice,Mookie Monstahs,False,False,100.0,,,,"C,1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE,Ben Rice,NYY,72.0,310.288,270.213,69.4782,38.4605,13.905,0.863347,16.2493,43.7207,45.9079,33.2168,0.932425,65.8057,4.37736,2.16787,0.312958,5.36565,2.56721,0.850865,0.257124,0.107051,0.212079,0.50477,0.345422,0.495379,0.363428,0.840801,0.238255,3.81704,0.279672,,-0.234363,48.4712,11.6329,133.785,-0.234363,-0.21,12.105701386928558,-5.863235428929329,1.75391,53.18999862670898,,,,,,,427.0,5.930555555,427.0,5.930555555,,,,,,,,,,,,,,,,,,,Ben Rice,29576,700250.0,Hitter,,,,,,,,,,,,,,,,,,,,,,,,,28.0,9.0,Mookie Monstahs,True,27
Blake Snell,Jazz Hands,False,False,100.0,,,,"P,SP,BE,IL",SIXTY_DAY_DL,Blake Snell,LAD,8.0,,,32.0,,,,4.0,16.0,,18.0,,53.0,2.0,,,,,,0.202443,0.10238,0.30347,,,,,,,,0.276253,,,,,,,,,,0.996631,178.41000366210938,,,,,,,224.40000000000003,,204.0,,,,,,,,,,,,,,,,,,,,Blake Snell,13543,605483.0,Pitcher,4.0,2.0,5.0,3.10081,8.0,0.0,0.0,,42.0,176.0,14.0,11.4836,3.87416,2.96415,0.964353,0.201089970767498,1.18455,0.78126,,,3.38553,1.066,5.342857142857143,4.857142857142857,12.0,3.0,Jazz Hands,True,11
Blaze Jordan,Master Bader,False,False,100.0,,,,"1B,3B,1B/3B,IF,UTIL,BE,IL",ACTIVE,Blaze Jordan,STL,39.0,166.184,154.537,40.8049,28.4057,8.49226,0.378491,3.52837,17.9594,19.4672,8.83984,0.442805,22.2841,1.36105,1.14678,0.299233,3.61078,0.825269,0.311161,0.264045,0.053193,0.134093,0.396688,0.307476,0.392392,0.306758,0.699868,0.128346,3.14741,0.287025,,-0.164831,18.3522,-1.37765,94.7424,-0.164831,0.0,-1.2106313407421112,-0.6490558981895447,0.359076,999.0,,,,,,,167.3,4.289743589,167.3,4.289743589,,,,,,,,,,,,,,,,,,,Blaze Jordan,28199,691458.0,Hitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Last
Bo Bichette,Mayor of Titty-City,False,False,100.0,,,,"SS,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",DAY_TO_DAY,Bo Bichette,NYM,75.0,317.209,293.105,83.2068,59.7786,13.7495,0.996588,8.68208,39.044,38.3854,19.4442,0.403918,53.9479,1.89619,2.29626,0.419912,7.23399,2.51052,1.1,0.28388,0.0612977,0.17007,0.360425,0.330071,0.426453,0.331114,0.756524,0.142573,3.70838,0.320163,,-0.37811,41.2718,3.61181,112.328,-0.37811,-0.33,4.30269530415535,0.4174922406673431,1.5254,92.86000061035156,,,,,,,368.6,4.914666666,368.6,4.914666666,,,,,,,,,,,,,,,,,,,Bo Bichette,19612,666182.0,Hitter,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,Mayor of Titty-City,True,3
