Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Steven Kwan,FREEAGENT,56.13,43.04,Cle,LF,"LF,OF,UTIL,BE,IL,CF",ACTIVE
Nick Pivetta,FREEAGENT,55.02,25.72,SD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Teoscar Hernandez,FREEAGENT,53.61,32.08,LAD,RF,"RF,OF,UTIL,BE,IL,LF",ACTIVE
Cole Ragans,FREEAGENT,52.39,32.75,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Willy Adames,FREEAGENT,50.81,36.63,SF,SS,"SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Brent Rooker,FREEAGENT,48.71,27.35,Oak,DH,"RF,OF,DH,UTIL,BE,IL",TEN_DAY_DL
Gleyber Torres,FREEAGENT,47.31,25.11,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL",TEN_DAY_DL
Emilio Pagan,FREEAGENT,47.26,34.71,Cin,RP,"P,RP,BE,IL",ACTIVE
Luke Keaschall,FREEAGENT,45.88,36.78,Min,2B,"2B,2B/SS,IF,UTIL,BE,IL,RF,OF",ACTIVE
Trevor Rogers,FREEAGENT,43.87,24.9,Bal,SP,"P,SP,BE,IL",ACTIVE
Brooks Lee,FREEAGENT,43.71,37.42,Min,SS,"2B,3B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Pete Fairbanks,FREEAGENT,41.29,32.01,Mia,RP,"P,RP,BE,IL",ACTIVE
Yainer Diaz,FREEAGENT,41.08,28.36,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Bryson Stott,FREEAGENT,40.38,27.95,Phi,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Jeff Hoffman,FREEAGENT,40.32,33.51,Tor,RP,"P,RP,BE,IL",ACTIVE
Brendan Donovan,FREEAGENT,39.73,12.27,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",TEN_DAY_DL
Isaac Paredes,FREEAGENT,38.11,30.92,Hou,3B,"3B,1B/3B,IF,UTIL,BE,IL,1B",ACTIVE
Jack Flaherty,FREEAGENT,37.87,23.99,Det,SP,"P,SP,BE,IL",ACTIVE
Konnor Griffin,FREEAGENT,37.25,8.23,Pit,SS,"SS,2B/SS,IF,UTIL,BE,IL",SIXTY_DAY_DL
Kenley Jansen,FREEAGENT,37.23,28.73,Det,RP,"P,RP,BE,IL",ACTIVE
Marcus Semien,FREEAGENT,36.82,20.66,NYM,2B,"2B,2B/SS,IF,UTIL,BE,IL",TEN_DAY_DL
Jo Adell,FREEAGENT,34.69,23.45,LAA,CF,"CF,RF,OF,UTIL,BE,IL",ACTIVE
Jake Bennett,FREEAGENT,34.43,19.81,Bos,SP,"P,SP,BE,IL",ACTIVE
Caleb Durbin,FREEAGENT,34.24,25.63,Bos,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Agustin Ramirez,FREEAGENT,33.76,26.01,Mia,C,"C,DH,UTIL,BE,IL",ACTIVE
Daniel Palencia,FREEAGENT,32.77,14.35,ChC,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Alejandro Kirk,FREEAGENT,32.75,15.27,Tor,C,"C,UTIL,BE,IL",ACTIVE
Ryan Pepiot,FREEAGENT,32.34,19.13,TB,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Bryan Abreu,FREEAGENT,30.88,25.12,Hou,RP,"P,RP,BE,IL",ACTIVE
Brayan Rocchio,FREEAGENT,30.14,24.61,Cle,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Ildemaro Vargas,FREEAGENT,30.14,20.86,Ari,2B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Ryan Jeffers,FREEAGENT,29.84,14.89,Min,C,"C,DH,UTIL,BE,IL",ACTIVE
Jakob Marsee,FREEAGENT,28.94,14.4,Mia,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Ben Brown,FREEAGENT,28.71,2.94,ChC,SP,"P,SP,RP,BE,IL",FIFTEEN_DAY_DL
Kris Bubic,FREEAGENT,28.0,8.39,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Sal Frelick,FREEAGENT,27.14,13.35,Mil,RF,"RF,OF,UTIL,BE,IL",ACTIVE
Gregory Soto,FREEAGENT,26.22,22.84,Pit,RP,"P,RP,BE,IL",ACTIVE
Ezequiel Duran,FREEAGENT,25.51,20.76,Tex,SS,"1B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL,OF,2B,LF,3B,RF",ACTIVE
J.T. Ginn,FREEAGENT,24.75,20.85,Oak,SP,"P,SP,BE,IL",ACTIVE
Seth Lugo,FREEAGENT,23.82,17.3,KC,SP,"P,SP,BE,IL",ACTIVE
Merrill Kelly,FREEAGENT,20.72,10.31,Ari,SP,"P,SP,BE,IL",ACTIVE
Bubba Chandler,FREEAGENT,20.42,13.47,Pit,SP,"P,SP,BE,IL",ACTIVE
Spencer Torkelson,FREEAGENT,19.92,12.19,Det,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
