Team,Player,Positions,Injury
Jazz Hands,Kyle Tucker,"RF,OF,UTIL,BE,IL",ACTIVE
Jazz Hands,Gunnar Henderson,"SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Jazz Hands,Freddie Freeman,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Jazz Hands,Zach Neto,"SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Jazz Hands,Austin Riley,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Jazz Hands,Cal Raleigh,"C,DH,UTIL,BE,IL",ACTIVE
Jazz Hands,Michael Harris II,"CF,OF,UTIL,BE,IL",ACTIVE
Jazz Hands,Yandy Diaz,"1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Jazz Hands,Michael King,"P,SP,BE,IL",ACTIVE
Jazz Hands,Tyler Glasnow,"P,SP,BE,IL",SIXTY_DAY_DL
Jazz Hands,Blake Snell,"P,SP,BE,IL",SIXTY_DAY_DL
Jazz Hands,Josh Hader,"P,RP,BE,IL",ACTIVE
Jazz Hands,Wilyer Abreu,"RF,OF,UTIL,BE,IL",ACTIVE
Jazz Hands,Aroldis Chapman,"P,RP,BE,IL",ACTIVE
Jazz Hands,Tarik Skubal,"P,SP,BE,IL",ACTIVE
Jazz Hands,Chase Burns,"P,SP,BE,IL",ACTIVE
Jazz Hands,Emerson Hancock,"P,SP,BE,IL",DAY_TO_DAY
Jazz Hands,Jose Soriano,"P,SP,BE,IL",ACTIVE
Jazz Hands,Parker Messick,"P,SP,BE,IL",ACTIVE
Jazz Hands,Gregory Soto,"P,RP,BE,IL",ACTIVE
Jazz Hands,Otto Lopez,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Jazz Hands,Adley Rutschman,"C,UTIL,BE,IL,DH",ACTIVE
Jazz Hands,Colson Montgomery,"SS,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Jazz Hands,Michael McGreevy,"P,SP,BE,IL",ACTIVE
Jazz Hands,Casey Schmitt,"2B,3B,2B/SS,1B/3B,IF,UTIL,BE,IL,DH,1B,LF,OF",ACTIVE
Jazz Hands,Yoendrys Gomez,"P,SP,RP,BE,IL",ACTIVE
Jazz Hands,Jose Caballero,"2B,3B,SS,2B/SS,1B/3B,IF,RF,OF,UTIL,BE,IL",ACTIVE
Jazz Hands,Joshua Baez,"CF,RF,OF,UTIL,BE,IL",ACTIVE
Jazz Hands,Teoscar Hernandez,"RF,OF,UTIL,BE,IL,LF",ACTIVE
Jazz Hands,Robert Gasser,"P,SP,BE,IL",ACTIVE
Shitty Mike,Ronald Acuna Jr.,"RF,OF,UTIL,BE,IL",TEN_DAY_DL
Shitty Mike,Vladimir Guerrero Jr.,"1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Shitty Mike,Rafael Devers,"1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Shitty Mike,Mason Miller,"P,RP,BE,IL",ACTIVE
Shitty Mike,Byron Buxton,"CF,OF,UTIL,BE,IL,DH",TEN_DAY_DL
Shitty Mike,Corey Seager,"SS,2B/SS,IF,UTIL,BE,IL",TEN_DAY_DL
Shitty Mike,Will Smith,"C,UTIL,BE,IL",TEN_DAY_DL
Shitty Mike,Zack Wheeler,"P,SP,BE,IL",ACTIVE
Shitty Mike,George Kirby,"P,SP,BE,IL",ACTIVE
Shitty Mike,Munetaka Murakami,"3B,1B/3B,IF,UTIL,BE,IL,1B",ACTIVE
Shitty Mike,Ian Happ,"LF,OF,UTIL,BE,IL",ACTIVE
Shitty Mike,Jesus Luzardo,"P,SP,BE,IL",ACTIVE
Shitty Mike,Ivan Herrera,"DH,UTIL,BE,IL,C",ACTIVE
Shitty Mike,Jacob deGrom,"P,SP,BE,IL",DAY_TO_DAY
Shitty Mike,Cam Schlittler,"P,SP,BE,IL",ACTIVE
Shitty Mike,Hunter Greene,"P,SP,BE,IL",ACTIVE
Shitty Mike,Will Warren,"P,SP,BE,IL",ACTIVE
Shitty Mike,Tanner Scott,"P,RP,BE,IL",ACTIVE
Shitty Mike,Jordan Walker,"RF,OF,UTIL,BE,IL",ACTIVE
Shitty Mike,Taj Bradley,"P,SP,BE,IL",ACTIVE
Shitty Mike,Louis Varland,"P,RP,BE,IL",ACTIVE
Shitty Mike,Miguel Vargas,"1B,3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Shitty Mike,Trevor Megill,"P,RP,BE,IL",ACTIVE
Shitty Mike,Nick Lodolo,"P,SP,BE,IL",FIFTEEN_DAY_DL
Shitty Mike,Dansby Swanson,"SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Shitty Mike,Jake McCarthy,"LF,OF,UTIL,BE,IL,CF,RF",ACTIVE
Shitty Mike,Griffin Jax,"P,RP,BE,IL,SP",ACTIVE
Shitty Mike,Cole Young,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Shitty Mike,Michael Busch,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Shitty Mike,Gavin Sheets,"LF,OF,DH,UTIL,BE,IL,1B,1B/3B,IF",ACTIVE
Jobu's Rum Runners,Juan Soto,"RF,OF,UTIL,BE,IL,DH,LF",ACTIVE
Jobu's Rum Runners,Jackson Chourio,"LF,CF,RF,OF,UTIL,BE,IL",ACTIVE
Jobu's Rum Runners,Trea Turner,"SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Jobu's Rum Runners,Chris Sale,"P,SP,BE,IL",ACTIVE
Jobu's Rum Runners,Framber Valdez,"P,SP,BE,IL",BEREAVEMENT
Jobu's Rum Runners,Josh Naylor,"1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Jobu's Rum Runners,Maikel Garcia,"3B,1B/3B,IF,UTIL,BE,IL",TEN_DAY_DL
Jobu's Rum Runners,Devin Williams,"P,RP,BE,IL",ACTIVE
Jobu's Rum Runners,Christian Yelich,"DH,UTIL,BE,IL",ACTIVE
Jobu's Rum Runners,Nathan Eovaldi,"P,SP,BE,IL",ACTIVE
Jobu's Rum Runners,Taylor Ward,"LF,OF,UTIL,BE,IL,DH",ACTIVE
Jobu's Rum Runners,Luis Castillo,"P,SP,BE,IL",ACTIVE
Jobu's Rum Runners,Ryan Helsley,"P,RP,BE,IL",FIFTEEN_DAY_DL
Jobu's Rum Runners,Brice Turang,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Jobu's Rum Runners,Brandon Woodruff,"P,SP,BE,IL",SIXTY_DAY_DL
Jobu's Rum Runners,Carlos Rodon,"P,SP,BE,IL",FIFTEEN_DAY_DL
Jobu's Rum Runners,Eugenio Suarez,"3B,1B/3B,IF,UTIL,BE,IL,DH",ACTIVE
Jobu's Rum Runners,Ranger Suarez,"P,SP,BE,IL",FIFTEEN_DAY_DL
Jobu's Rum Runners,Corbin Burnes,"P,SP,BE,IL",SIXTY_DAY_DL
Jobu's Rum Runners,Brandon Nimmo,"LF,OF,UTIL,BE,IL,RF",ACTIVE
Jobu's Rum Runners,Xavier Edwards,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Jobu's Rum Runners,Jesus Made,"SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Jobu's Rum Runners,Ryan O'Hearn,"1B,1B/3B,IF,RF,OF,DH,UTIL,BE,IL",ACTIVE
Jobu's Rum Runners,Michael Wacha,"P,SP,BE,IL",ACTIVE
Jobu's Rum Runners,Paul Sewald,"P,RP,BE,IL",ACTIVE
Jobu's Rum Runners,Riley O'Brien,"P,RP,BE,IL",ACTIVE
Jobu's Rum Runners,Justin Wrobleski,"P,RP,BE,IL,SP",ACTIVE
Jobu's Rum Runners,Zac Gallen,"P,SP,BE,IL",FIFTEEN_DAY_DL
Jobu's Rum Runners,Salvador Perez,"C,1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Jobu's Rum Runners,Shane Baz,"P,SP,BE,IL",ACTIVE
Mookie Monstahs,Shohei Ohtani,"DH,UTIL,P,SP,BE,IL",ACTIVE
Mookie Monstahs,Yordan Alvarez,"LF,OF,DH,UTIL,BE,IL",ACTIVE
Mookie Monstahs,Brent Rooker,"RF,OF,DH,UTIL,BE,IL",TEN_DAY_DL
Mookie Monstahs,Mookie Betts,"SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Mookie Monstahs,Jhoan Duran,"P,RP,BE,IL",ACTIVE
Mookie Monstahs,Konnor Griffin,"SS,2B/SS,IF,UTIL,BE,IL",SIXTY_DAY_DL
Mookie Monstahs,Nolan McLean,"P,SP,BE,IL",ACTIVE
Mookie Monstahs,Junior Caminero,"3B,1B/3B,IF,UTIL,BE,IL",DAY_TO_DAY
Mookie Monstahs,Kerry Carpenter,"LF,RF,OF,DH,UTIL,BE,IL",ACTIVE
Mookie Monstahs,Connelly Early,"P,SP,BE,IL",FIFTEEN_DAY_DL
Mookie Monstahs,Ryan Weathers,"P,SP,BE,IL",ACTIVE
Mookie Monstahs,Hunter Goodman,"C,DH,UTIL,BE,IL",ACTIVE
Mookie Monstahs,James Wood,"LF,OF,DH,UTIL,BE,IL,RF",ACTIVE
Mookie Monstahs,Ben Rice,"C,1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Mookie Monstahs,Chase DeLauter,"LF,RF,OF,UTIL,BE,IL,DH",ACTIVE
Mookie Monstahs,Michael Soroka,"P,SP,BE,IL",FIFTEEN_DAY_DL
Mookie Monstahs,Max Meyer,"P,SP,BE,IL",ACTIVE
Mookie Monstahs,Bryce Elder,"P,SP,BE,IL",ACTIVE
Mookie Monstahs,Jazz Chisholm Jr.,"2B,3B,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Mookie Monstahs,Reid Detmers,"P,RP,BE,IL,SP",ACTIVE
Mookie Monstahs,Jonathan Aranda,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Mookie Monstahs,Dillon Dingler,"C,UTIL,BE,IL,DH",ACTIVE
Mookie Monstahs,Landen Roupp,"P,SP,BE,IL",ACTIVE
Mookie Monstahs,Cade Cavalli,"P,SP,BE,IL",ACTIVE
Mookie Monstahs,Gage Jump,"P,SP,BE,IL",ACTIVE
Mookie Monstahs,Bryce Eldridge,"DH,UTIL,BE,IL,1B,1B/3B,IF",ACTIVE
Mookie Monstahs,Kyle Stowers,"LF,RF,OF,UTIL,BE,IL,1B,1B/3B,IF",ACTIVE
Mookie Monstahs,Kyle Bradish,"P,SP,BE,IL",ACTIVE
Mookie Monstahs,Braden Montgomery,"CF,RF,OF,DH,UTIL,BE,IL",ACTIVE
Mookie Monstahs,Charlie Condon,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Master Bader,Aaron Judge,"RF,OF,DH,UTIL,BE,IL",TEN_DAY_DL
Master Bader,Bryce Harper,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Master Bader,Edwin Diaz,"P,RP,BE,IL",SIXTY_DAY_DL
Master Bader,Hunter Brown,"P,SP,BE,IL",ACTIVE
Master Bader,CJ Abrams,"SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Master Bader,Raisel Iglesias,"P,RP,BE,IL",ACTIVE
