Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,PlayerType,W,L,QS,ERA,GS,SV,HLD,BS,IP,TBF,ER,K/9,BB/9,K/BB,HR/9,K-BB%,WHIP,LOB%,GB%,HR/FB,FIP,RA9-WAR,FPTS/IP,SPTS/IP
Bobby Witt Jr.,KCR,75,325.977,292.982,88.9638,51.0676,15.674,5.62256,16.5996,56.5835,49.6893,26.777,2.43082,53.9067,2.97844,2.79142,0.447513,3.29138,17.2578,4.48375,0.303649,0.0821439,0.16537,0.496729,0.364696,0.565501,0.39471,0.930197,0.261852,7.98008,0.321237,,1.18601,59.1597,20.4589,151.083,1.18601,4.93,20.787749767303467,8.402221918106079,4.14138,3.0999999046325684,,,,,,,556.9,7.425333333,556.9,7.425333333,,,,,,,,,,,,,,,,,,,Bobby Witt Jr.,25764,677951,Hitter,,,,,,,,,,,,,,,,,,,,,,,,
Juan Soto,NYM,75,317.209,257.536,72.4395,40.0878,12.5264,0.233318,19.5919,52.8177,50.7692,55.2755,4.09758,53.5471,1.95533,1.97339,0.469309,6.31562,7.28476,2.76962,0.281279,0.174256,0.168807,1.03228,0.40939,0.559954,0.41363,0.969344,0.278675,3.9298,0.283562,,-0.178849,62.4169,24.7569,168.02,-0.178849,-0.54,25.64702706038952,-4.494475185871124,3.19449,4.650000095367432,,,,,,,546.8,7.290666666,546.8,7.290666666,,,,,,,,,,,,,,,,,,,Juan Soto,20123,665742,Hitter,,,,,,,,,,,,,,,,,,,,,,,,
Shohei Ohtani,LAD,75,326.814,274.896,78.6319,40.0843,15.6928,1.00807,21.8468,58.6751,56.9882,46.203,6.12807,76.6367,2.84389,1.78058,0.347058,4.83466,10.5444,3.45245,0.286042,0.141374,0.234497,0.602883,0.391985,0.58888,0.413195,0.980865,0.302838,5.21746,0.318671,,0.244962,64.1919,25.3916,164.949,0.244962,0.0,25.651378393173218,-7.007007122039795,2.9714,1.2699999809265137,,,,,,,585.8,7.810666666,585.8,7.810666666,,,,,,,,,,,,,,,,,,,Shohei Ohtani,19755,660271,Hitter,,,,,,,,,,,,,,,,,,,,,,,,
Yordan Alvarez,HOU,67,292.568,245.956,73.4851,38.6184,14.7264,0.0,20.1403,46.2833,54.1659,39.5398,5.78901,48.6903,4.28592,2.52127,0.264278,4.55919,1.39404,0.524036,0.298773,0.135147,0.166424,0.812066,0.401332,0.604304,0.422491,1.00564,0.305531,2.3729,0.296942,,-0.342093,59.6624,24.9279,173.762,-0.342093,-0.04,25.06107646226883,-6.901672400534153,2.9004,33.38999938964844,,,,,,,525.4,7.841791044,525.4,7.841791044,,,,,,,,,,,,,,,,,,,Yordan Alvarez,19556,670541,Hitter,,,,,,,,,,,,,,,,,,,,,,,,
Cal Raleigh,SEA,69,279.956,241.063,52.8897,25.5766,9.51781,0.146872,17.6484,37.2767,46.0432,33.9482,2.22352,79.9119,2.6659,2.03993,0.235705,2.76863,3.27622,1.12349,0.219402,0.121263,0.285445,0.42482,0.31998,0.479736,0.343692,0.799715,0.260334,3.41891,0.242137,,-0.125197,39.2693,6.03215,125.676,-0.125197,7.17,8.336409121751785,10.080493927001951,2.88104,18.729999542236328,,,,,,,367.9,5.331884057,367.9,5.331884057,,,,,,,,,,,,,,,,,,,Cal Raleigh,21534,663728,Hitter,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Tatis Jr.,SDP,78,334.79,294.051,82.6404,51.6147,15.2455,2.34126,13.439,52.0327,44.3948,34.65,1.29552,63.2241,3.20073,2.22442,0.663397,6.2593,14.6673,4.13807,0.281041,0.103498,0.188847,0.54805,0.360616,0.485921,0.367218,0.846537,0.20488,6.46276,0.315107,,0.759094,53.3236,13.5764,137.131,0.759094,3.2,15.63819169998169,-0.2621991634368896,2.66571,14.010000228881836,,,,,,,479.2,6.143589743,479.2,6.143589743,,,,,,,,,,,,,,,,,,,Fernando Tatis Jr.,19709,665487,Hitter,,,,,,,,,,,,,,,,,,,,,,,,
Pete Crow-Armstrong,CHC,74,318.9,285.357,72.6478,41.9284,14.6763,2.0804,13.9627,48.0893,40.7988,22.9005,1.26982,79.0674,4.6729,2.47454,3.49551,3.33477,17.06,3.15368,0.254586,0.071811,0.247938,0.289633,0.317754,0.46739,0.338706,0.785144,0.212805,7.38062,0.301256,,1.74942,43.4475,5.58673,115.951,1.74942,6.29,7.837849974632263,7.431975245475769,2.60254,32.939998626708984,,,,,,,418.2,5.651351351,418.2,5.651351351,,,,,,,,,,,,,,,,,,,Pete Crow-Armstrong,27769,691718,Hitter,,,,,,,,,,,,,,,,,,,,,,,,
Junior Caminero,TBR,78,338.036,304.298,84.2126,48.1409,13.3812,1.0363,21.6543,47.7888,60.9788,28.5461,2.36328,61.029,2.1191,2.70304,0.369535,7.11452,1.89821,0.740303,0.276744,0.084447,0.18054,0.467747,0.340211,0.541013,0.374948,0.881224,0.264269,3.30616,0.278883,,-0.329464,55.9515,15.8189,139.668,-0.329464,-2.83,15.4550921022892,-2.02753084897995,2.58386,16.479999542236328,,,,,,,510.6,6.546153846,510.6,6.546153846,,,,,,,,,,,,,,,,,,,Junior Caminero,28163,691406,Hitter,,,,,,,,,,,,,,,,,,,,,,,,
Gunnar Henderson,BAL,74,326.326,289.488,77.0266,46.1015,16.2328,1.51997,13.1724,47.571,42.1031,30.7162,1.20641,69.1815,3.23533,2.59374,0.293068,5.92781,8.88659,2.33189,0.266079,0.0941273,0.212001,0.443994,0.340389,0.469161,0.351052,0.809551,0.203082,5.51327,0.304463,,0.398155,47.714,8.97164,125.61,0.398155,0.03,10.235733807086945,3.4559259694069624,2.56843,12.510000228881836,,,,,,,435.7,5.887837837,435.7,5.887837837,,,,,,,,,,,,,,,,,,,Gunnar Henderson,26289,683002,Hitter,,,,,,,,,,,,,,,,,,,,,,,,
Corbin Carroll,ARI,74,318.48,275.985,72.0456,39.8293,15.9956,3.13229,13.0885,50.408,42.2673,34.5624,1.08232,64.6889,4.42115,2.09706,1.41415,4.45069,14.537,3.00111,0.261049,0.108523,0.203118,0.534286,0.350177,0.483979,0.36137,0.834156,0.222931,7.39769,0.294337,,1.25773,49.2213,11.4104,128.485,1.25773,5.92,12.116135358810425,2.6398582458496094,2.54896,14.100000381469728,,,,,,,450.0,6.081081081,450.0,6.081081081,,,,,,,,,,,,,,,,,,,Corbin Carroll,25878,682998,Hitter,,,,,,,,,,,,,,,,,,,,,,,,
