Player,Positions,Injury
Ronald Acuna Jr.,"RF,OF,UTIL,BE,IL",ACTIVE
Vladimir Guerrero Jr.,"1B,1B/3B,IF,DH,UTIL,BE,IL",SEVEN_DAY_DL
Rafael Devers,"1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Mason Miller,"P,RP,BE,IL",ACTIVE
Byron Buxton,"CF,OF,UTIL,BE,IL,DH",ACTIVE
Corey Seager,"SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Will Smith,"C,UTIL,BE,IL",SIXTY_DAY_DL
Zack Wheeler,"P,SP,BE,IL",ACTIVE
George Kirby,"P,SP,BE,IL",ACTIVE
Munetaka Murakami,"3B,1B/3B,IF,UTIL,BE,IL,1B",ACTIVE
Ian Happ,"LF,OF,UTIL,BE,IL",ACTIVE
Jesus Luzardo,"P,SP,BE,IL",ACTIVE
Ivan Herrera,"DH,UTIL,BE,IL,C",ACTIVE
Jacob deGrom,"P,SP,BE,IL",DAY_TO_DAY
Cam Schlittler,"P,SP,BE,IL",ACTIVE
Will Warren,"P,SP,BE,IL",ACTIVE
Tanner Scott,"P,RP,BE,IL",ACTIVE
Jordan Walker,"RF,OF,UTIL,BE,IL",ACTIVE
Taj Bradley,"P,SP,BE,IL",ACTIVE
Louis Varland,"P,RP,BE,IL",ACTIVE
Miguel Vargas,"1B,3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Trevor Megill,"P,RP,BE,IL",ACTIVE
Griffin Jax,"P,RP,BE,IL,SP",FIFTEEN_DAY_DL
Trent Grisham,"CF,OF,UTIL,BE,IL",ACTIVE
Teoscar Hernandez,"RF,OF,UTIL,BE,IL,LF",ACTIVE
Christian Scott,"P,SP,BE,IL",ACTIVE
Bryson Stott,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Jared Jones,"P,SP,BE,IL",ACTIVE
Tyler Mahle,"P,SP,BE,IL",ACTIVE
Mason Montgomery,"P,RP,BE,IL,SP",ACTIVE
